,title,body,age,educated,region,url
0,지역주도형 청년일자리사업,"관내 사회적경제조직 및 중소기업에 미취업 청년 채용시 인건비를 지원 하여 청년에게 적합한 지역 일자리 제공으로 청년의 지역정착 유도 및 사회적기업, 중소기업 등 지역경제 활성화에 기여하고자 함",만 18세~39세,제한없음,경기도 가평군,www.ggjh.co.kr
1,가평장학관 운영,"향토인재의 양성을 위해 지역 대학생에게 숙식 등
편의를 제공하고 학부모의 교육비 부담을 경감시키고자 함, 경기도의 대학생에게 안전하고 쾌적한 숙식 면학환경을 제공하여 장차 지역사회와 국가발전, 인류사회에 공헌할 인재를 양성하고 나아가 교육 기회의 평등 실현에 기여하고자 함",-,제한없음,경기도 가평군,www.ggjh.co.kr
2,대학생 군정체험 활동 (하반기),"관내 대학생들에게 방학기간동안 다양한 행정체험을 통해 군정에 대한 이해와 고향에 대한 애정을 높이는 기회 제공, 학생들의 자발적 학자금 조달활동을 통한 학부모 가계부담 경감 및 다양한 행정체험을 통해 군정에 대한 이해와 애향심을 높이는 선행적 사회경험의 기회를 제공",-,대학 재학,경기도 가평군,http://www.gp.go.kr
3,가평군 장학생, 지역 우수인재들의 지원 및 가정환경이 어려운 학생들의 학업여건 개선을 위해 모집,-,대학 재학,경기도 가평군,https://www.gp.go.kr/
4,경기도 청년공동체 활동지원사업,청년공동체를 발굴하고 청년들의 역량강화와 지역 커뮤니티 활동을 활성화하기 위한 지원사업의 참여자 공개 모집,만 20세 ~ 만 39세,제한없음,경기도 가평군,http//www.gg.go.kr
5,일하는 청년 복지포인트,경기도에서는 중소기업 처우개선 및 근로자 복리후생지원, 만 18세 ~ 34세,제한없음,경기도 가평군,https://www.gp.go.kr/portal/selectBbsNttView.do?key=501&bbsNo=150&nttNo=163373&searchCtgry=&searchCnd=SJ&searchKrwd=%EB%B3%B5%EC%A7%80%ED%8F%AC%EC%9D%B8%ED%8A%B8&pageIndex=1&integrDeptCode=
6,청년 마이스터통장,경기도에서는 중소기업 처우개선 및 복리후생지원, 만 18세 ~ 34세,제한없음,경기도 가평군,https://www.gp.go.kr/portal/selectBbsNttView.do?key=501&bbsNo=150&nttNo=163373&searchCtgry=&searchCnd=SJ&searchKrwd=%EB%B3%B5%EC%A7%80%ED%8F%AC%EC%9D%B8%ED%8A%B8&pageIndex=1&integrDeptCode=
7,청년창업농 선발 및 영농정착지원 사업,"창업 자금, 기술·경영 교육과 컨설팅, 농지은행 매입비축 농지 임대 및 농지 매매를 연계 지원하여 건실한 경영체로 성장을 유도, 특히 영농 초기 소득이 불안정한 청년창업농에게는 최장 3년간 월 최대 100만원의 영농정착 지원금을 지급, 이를 통해 젊고 유능한 인재의 농업 분야 진출을 촉진하는 선순환 체계 구축, 농가 경영주의 고령화 추세 완화 등 농업 인력구조 개선",만 18세 이상 ～ 만 40세 미만,제한없음,경기도 가평군,https://www.gp.go.kr/
8,여성농업인 행복바우처,"보건․문화 비용 지원으로 여성농업인의 건강증진 및 여성농업인의 삶의 질 향상, 여성농업인의 사기진작 및 직업적 자긍심 고취, 실질적으로 농업에 종사하는 여성 농업인의 신청과 수혜자 부담의 원칙에 의하여 건강관리․문화활동에 필요한 최소 예산 지원, 대상자 적격여부 사전 검증(선정) 및 전반적인 수혜자 체감 만족도 제고를 위한 사후관리 철저",만 20세 이상,제한없음,경기도 가평군,https://www.gp.go.kr/
9,사회적경제 육성 및 창업아카데미 운영,"○ 사회적경제에 대한 지역 주민의 이해를 통해 관내 사회적경제에 대한 관심을 불러일으키고 사회적경제 기업을 창업하고자 하는 지역주민에게 기회 제공
○ 베이비부머, 청년 등 사회적경제 창업희망자 수혜의 폭을 넓히고 원활한 지원으로 지역문제 이해를 통한 지역사회 혁신 및 사회적 경제 일자리 확충",-,제한없음,경기도 가평군,https://www.gp.go.kr/
10,청년정책아이디어 경진대회,청년이 바라는 청년정책을 직접 제안하고 우수사례를 발굴하여 시책사업으로 추진함으로써 청년의 시정 참여 확대와 청년 정책 효과성 제고 ,만18~34세,제한없음,경기도 고양시,http://www.goyang.go.kr
11,청년 창의적 일자리 포럼 개최,"고양시와 경기도, 일자리 전문가와 지역 청년이 한자리에 모여 일자리 문제를 논의 할 수 있는 토론의 장을 마련, 새로운 고용정책을 모색하고 좋은 일자리‧창업 환경을 만들기 위한 방향 제시",-,제한없음,경기도 고양시,http://www.goyang.go.kr
12,시장과 함께하는 청년 토크 콘서트,고양시장과 지역청년이 모여 고양시장의 시정 운영방안 등에 대한 자유로운 의견 교환을 통한 쌍방향 소통 및 청년의 의견을 반영한 정책 발굴,-,제한없음,경기도 고양시,http://www.goyang.go.kr
13,고양청년 재정지원 프로그램,창업자금 및 경영자금 지원를 위한 무보증 대출 지원,만 18세~39세,제한없음,경기도 고양시,https://www.gcgf.or.kr
14,청년 직무 직업 교육 실시,청년에게 취업‧창업에 필요한 교육프로그램을 관내 위탁 또는 대형 유통업체와 협업하여 제공함으로써 청년 직무 역량 강화,-,제한없음,경기도 고양시,http://www.goyang.go.kr
15,대학생직장제험 연수,"고양시 대학생들에게 방학을 이용하여 일정 기간(20일) 동안 공공기관 직장체험을 통해 진로탐색 및 직업선택, 경력형성 등 취업활동 지원",-,대학교 재(휴)학생,경기도 고양시,http://www.goyang.go.kr
16,청년일자리박람회 '청년드림 JOB콘서트'(가칭),"청년들에게 실질적 도움이 되도록, 진로 탐색․직업 체험․채용 면접 등을 통합 구성하여 청년 구직 수요가 반영되도록 일자리박람회를 개최",만18세 이상,제한없음,경기도 고양시,blog.naver.com/goyang_jobs
17,일자리 카페 운영,"고양시 청년구직자들을 위한 취업프로그램 준비, 민간카페를 임자하여 청년들이 필요한 커뮤니티 공간제공",만 18세~34세,제한없음,경기도 고양시,http://www.goyangjobcafe.kr/
18,청년 캣취업(Cat cheer-up) 사관학교(2차),"5주간 집단상담+개별상담을 병행하는 맞춤형 취업지원 프로그램, 연간5기 운영(기수별 15명)",만 18~34세,제한없음,경기도 고양시,blog.naver.com/goyang_jobs
19,면접정장 대여,"면접에 필요한 복장 대여 지원, 면접부담 경감,- 저성장 경제기조 속에 고용위기에 따른 높아지는 청년 실업률만큼이나 길어지는 구직기간으로 경제적 어려움을 겪는 고양 청년들에게 면접에 필요한 정장 비용을 무료로 지원하여 취업성공 응원 및 경제적 부담을 경감시키고자 함",만 18세~만34세,"-  고등학교 졸업예정자 포함
- 고양시 소재 대학교 구직 대학생
- 덕양구 원흥동 소재 '한국장학재단 대학생연합생활관'입주대학생",경기도 고양시,http://www.goyang.go.kr
20,좋은 일자리플러스사업, 고양시 일자리 교육훈련 사업에 참여하는 청년채용 기업에 인건비를 지원하여 기업의 인건비 부담 감소를 통한 청년의 안정적 일자리 제공과 지속 가능한 경제활동 지원,만 18세~34세,제한없음,경기도 고양시,http://www.goyang.go.kr
21,"고양 첨단산업 청년창업 생태계 조성 
⇒첨단산업 스타트업 육성","첨단산업 활성화를 위한 기반 조성 사업으로 아이디어 공모, 컨설팅, 창업 캠프 운영을 통해 창업 생태계 구축 및 스타트업 기업 육성",-,제한없음,경기도 고양시,http://www.goyang.go.kr
22,고양 1인 창조기업 지원센터 운영,1인 창조기업(예비 창업자) 대상 인프라 제공 및 체계적인 맞춤형 원스톱 창업 지원을 통해 지속적인 창업 수요 및 일자리 창출하고 청년 창업을 지원,-,제한없음,경기도 고양시,http://www.goyang.go.kr
23,청년 농업인 영농 안정화 시범,영농에 정착한 청년농업인들의 경쟁력 강화와 전문성 제고를 위한 영농신기술과 창의적 아이디어를 바탕으로 자립기반을 갖춘 전문 청년농업인으로 양성,만18세~39세,제한없음,경기도 고양시,http://www.goyang.go.kr
24,청년농업인 4-H회원 신규영농 정착,발전하는 농업ㆍ농촌을 위한 청년농업인 4-H회원들의 초기 영농정착 지원 사업으로 우수한 청년농업인 4-H회원 발굴 육성을 통해 농업후계 인재 양성에 기여,만18세~39세,제한없음,경기도 고양시,http://www.goyang.go.kr
25,청년농업인 경쟁력 제고,"청년농업인들의 열정과 창의적 아이디어 브랜드화, 영농신기술을 적용하여 청년농업인들이 농업ㆍ농촌의 주역으로 성장하여 농업 발전의 성공모델 제시",만18세~39세,제한없음,경기도 고양시,http://www.goyang.go.kr
26,청년 농업인 경영진단 컨설팅,"청년 창업농의 안정적인 영농정착과 경영목표 달성을 지원하기 위하여 기술․경영상태 진단, 분석 후 컨설팅 제공",만18세~39세,제한없음,경기도 고양시,http://www.goyang.go.kr
27,청년배당,"경기도에서 3년 이상 거주한 청년들에게 연100만원의 지역화폐를 지급함으로써 청년들의 복지 증진, 취업역량 강화 및 지역경제 활성화 도모,고양시에 거주하는 청년에게 청년배당을 지급하여 청년들의 복지향상과 안정적 생활기반을 조성하고 지역경제 활성화에 이바지하고자 함. ",만24세,제한없음,경기도 고양시,apply.jobaba.net
28,농업인 자녀 학자금 대출,농·어업인 대학생자녀 학자금 지원으로 교육의 기회를 균등하게 제공하고 젊은 농·어업인의 지역 정착 유도,-,대학재학,경기도 고양시,https://www.gov.kr/portal/main
29,청년과 신혼부부를 위한 사회적주택공급," 낙후된 지역 내(원당, 능곡, 일산) 건물(다가구, 단독)을 매입하여 리모델링 후 저소득층 청년, 신혼부부 등에 저렴한 가격에 임대하여 주거안정에 기여하고 도시재생사업에 참여",-,제한없음,경기도 고양시,http://www.goyang.go.kr
30,청년커뮤니티,청년의 교류를 증진 통한 건전한 청년문화 조성,만 18세~34세,제한없음,경기도 고양시,http://www.goyang.go.kr
31,청년농업인 영농정착 지원사업,"○ 창업 자금, 기술·경영 교육과 컨설팅, 농지은행 매입비축 농지 임대 및 농지 매매를 연계 지원하여 건실한 경영체로 성장 유도
○ 유능한 인재의 농업 분야 진출을 촉진하는 선순환 체계를 구축하여, 농가 경영주의 고령화 추세 완화 등 농업 인력구조를 개선",만 18세 이상 ~ 40세 미만,제한 없음,경기도 고양시,http://www.mafra.go.kr/mafra/1080/subview.do
32,고양 청년 인턴 지원 사업,청년일자리 창출과 고용안정을 목적,만 18세 이상 만 39세 이하,제한없음,경기도 고양시,http://www.goyang.go.kr
33,공공근로사업, 저소득 · 실직자 등 취약계층을 위해 한시적 일자리를 제공하여 최소한의 생계보장 및 고용안정을 도모,만 18세 이상,제한없음,경기도 고양시,http://www.goyang.go.kr
34,제 2기 고양시 소셜기자단 모집,"고양시에서는 시정소식, 문화행사부터 숨은 시민 이야기 등  우리 시의 각종 소식들을 직접 작성해 널리 알릴 수 있는 제2기 ‘고양시 소셜기자단’ 모집",-,고등학생부터 일반성인까지 지원 가능,경기도 고양시,http://www.goyang.go.kr
35,희망-내일' 공공일자리사업,"사회전반에 걸친 저성장 기조 속에 고용위기로 인한 실업 대책으로서, 선제적인 재정투입으로 전 계층을 대상으로 한 공공부문의 솔선수범의 일자리 확대정책으로서 서민생활 안정 및 지역경제 활성화에 기여",만18세 이상,제한없음,경기도 고양시,고양시 통합 일자리정보 www.goyang.go.kr/jobs
36,청년취업성공프로그램,다양한 청년취업프로그램 제공으로 청년구직자에게 취업에 필요한 정보를 공유하여 기업에 취업 할 수 있는 기회 제공 등 청년고용 활성화를 위한 프로그램,만 35세 미만,제한없음,경기도 과천시,http://www.gccity.go.kr/search/search.jsp
37,과천시 청년기본소득(청년배당),정기적인 소득 지원을 통해 장래를 준비할 수 있는 시간을 주어 사회활동을 촉진,만 24세,제한없음,경기도 과천시,apply.jobaba.net
38,소상공인 환경개선사업,과천시 내 소상공인의 환경개선사업을 통한 점포 매출증대 및 상인들의 자생력을 강화,-,제한없음,경기도 과천시 ,http://www.gccity.go.kr/
